block_id,Education,Experience,Position,SalaryBand,probability,DefaultSalary
1,Masters,0-15,Junior,70k-100k,0.8441558441558441,74000
1,Masters,15-30+,Junior,70k-100k,0.15584415584415584,74000
2,Masters,15-30+,Manager,121k+,0.7,135000
2,PhD,15-30+,Manager,121k+,0.3000000000000001,135000
3,Masters,0-15,Junior,70k-100k,0.5909090909090908,78000
3,Masters,15-30+,Junior,70k-100k,0.10909090909090907,78000
3,PhD,0-15,Junior,70k-100k,0.2532467532467533,78000
3,PhD,15-30+,Junior,70k-100k,0.046753246753246755,78000
4,Masters,0-15,Senior,101k-120k,0.5,128000
4,Masters,0-15,Senior,121k+,0.28,128000
4,Masters,0-15,Senior,70k-100k,0.21999999999999997,128000
5,Masters,0-15,Junior,70k-100k,0.5909090909090908,72000
5,Masters,15-30+,Junior,70k-100k,0.10909090909090907,72000
5,PhD,0-15,Junior,70k-100k,0.2532467532467533,72000
5,PhD,15-30+,Junior,70k-100k,0.046753246753246755,72000
6,PhD,15-30+,Senior,101k-120k,1.0,111000
7,Masters,15-30+,Senior,101k-120k,0.5,105000
7,Masters,15-30+,Senior,121k+,0.28,105000
7,Masters,15-30+,Senior,70k-100k,0.22000000000000003,105000
8,Masters,0-15,Manager,101k-120k,0.29,135000
8,Masters,0-15,Manager,121k+,0.65,135000
8,Masters,0-15,Manager,70k-100k,0.06,135000
9,PhD,0-15,Manager,101k-120k,0.29,135000
9,PhD,0-15,Manager,121k+,0.6499999999999999,135000
9,PhD,0-15,Manager,70k-100k,0.06,135000
10,Masters,0-15,Senior,101k-120k,0.42207792207792205,113000
10,Masters,0-15,Senior,121k+,0.2363636363636364,113000
10,Masters,0-15,Senior,70k-100k,0.18571428571428572,113000
10,Masters,15-30+,Senior,101k-120k,0.07792207792207792,113000
10,Masters,15-30+,Senior,121k+,0.04363636363636364,113000
10,Masters,15-30+,Senior,70k-100k,0.03428571428571429,113000
11,Masters,0-15,Manager,101k-120k,0.20299999999999996,122000
11,Masters,0-15,Manager,121k+,0.4549999999999999,122000
11,Masters,0-15,Manager,70k-100k,0.04199999999999999,122000
11,PhD,0-15,Manager,101k-120k,0.08700000000000001,122000
11,PhD,0-15,Manager,121k+,0.19500000000000003,122000
11,PhD,0-15,Manager,70k-100k,0.018,122000
12,Masters,15-30+,Manager,101k-120k,0.29,107000
12,Masters,15-30+,Manager,121k+,0.6500000000000001,107000
12,Masters,15-30+,Manager,70k-100k,0.060000000000000005,107000
13,Masters,0-15,Senior,101k-120k,0.7,113000
13,PhD,0-15,Senior,101k-120k,0.3,113000
14,Masters,15-30+,Manager,101k-120k,0.20299999999999996,128000
14,Masters,15-30+,Manager,121k+,0.4549999999999999,128000
14,Masters,15-30+,Manager,70k-100k,0.041999999999999996,128000
14,PhD,15-30+,Manager,101k-120k,0.08700000000000001,128000
14,PhD,15-30+,Manager,121k+,0.19500000000000003,128000
14,PhD,15-30+,Manager,70k-100k,0.018,128000
15,PhD,0-15,Junior,101k-120k,0.8441558441558442,105000
15,PhD,15-30+,Junior,101k-120k,0.15584415584415584,105000
16,Masters,0-15,Junior,70k-100k,0.7,84000
16,PhD,0-15,Junior,70k-100k,0.3000000000000001,84000
17,PhD,0-15,Senior,101k-120k,0.4220779220779221,125000
17,PhD,0-15,Senior,121k+,0.23636363636363641,125000
17,PhD,0-15,Senior,70k-100k,0.18571428571428572,125000
17,PhD,15-30+,Senior,101k-120k,0.07792207792207792,125000
17,PhD,15-30+,Senior,121k+,0.04363636363636364,125000
17,PhD,15-30+,Senior,70k-100k,0.03428571428571429,125000
18,PhD,0-15,Senior,101k-120k,0.8441558441558441,102000
18,PhD,15-30+,Senior,101k-120k,0.15584415584415584,102000
19,Masters,0-15,Senior,101k-120k,0.7,107000
19,PhD,0-15,Senior,101k-120k,0.3,107000
20,Masters,0-15,Junior,70k-100k,0.7,74000
20,PhD,0-15,Junior,70k-100k,0.3000000000000001,74000
21,Masters,0-15,Junior,70k-100k,0.7,84000
21,PhD,0-15,Junior,70k-100k,0.3000000000000001,84000
22,Masters,15-30+,Senior,121k+,1.0,135000
23,Masters,0-15,Senior,101k-120k,1.0,102000
24,Masters,0-15,Senior,101k-120k,1.0,111000
25,Masters,15-30+,Senior,121k+,0.7,131000
25,PhD,15-30+,Senior,121k+,0.3,131000
26,PhD,0-15,Senior,101k-120k,0.8441558441558441,111000
26,PhD,15-30+,Senior,101k-120k,0.15584415584415584,111000
27,Masters,15-30+,Senior,101k-120k,1.0,105000
28,Masters,15-30+,Manager,101k-120k,1.0,107000
29,Masters,0-15,Manager,101k-120k,1.0,114000
30,Masters,0-15,Senior,101k-120k,0.5,76000
30,Masters,0-15,Senior,121k+,0.28,76000
30,Masters,0-15,Senior,70k-100k,0.21999999999999997,76000
