block_id,eid,Education,Experience,Position,SalaryBand,probability
1,1,Masters,15-30+,Senior,101k-120k,0.5
1,1,Masters,15-30+,Senior,121k+,0.28
1,1,Masters,15-30+,Senior,70k-100k,0.22000000000000003
2,2,Masters,0-15,Senior,121k+,0.8441558441558441
2,2,Masters,15-30+,Senior,121k+,0.15584415584415584
3,3,Masters,0-15,Junior,70k-100k,0.5909090909090908
3,3,Masters,15-30+,Junior,70k-100k,0.10909090909090907
3,3,PhD,0-15,Junior,70k-100k,0.2532467532467533
3,3,PhD,15-30+,Junior,70k-100k,0.046753246753246755
4,4,Masters,0-15,Junior,101k-120k,0.8441558441558441
4,4,Masters,15-30+,Junior,101k-120k,0.15584415584415584
5,5,Masters,0-15,Junior,101k-120k,0.13590909090909095
5,5,Masters,0-15,Junior,121k+,0.029545454545454552
5,5,Masters,0-15,Junior,70k-100k,0.4254545454545455
5,5,Masters,15-30+,Junior,101k-120k,0.02509090909090909
5,5,Masters,15-30+,Junior,121k+,0.005454545454545455
5,5,Masters,15-30+,Junior,70k-100k,0.07854545454545454
5,5,PhD,0-15,Junior,101k-120k,0.05824675324675327
5,5,PhD,0-15,Junior,121k+,0.012662337662337668
5,5,PhD,0-15,Junior,70k-100k,0.1823376623376624
5,5,PhD,15-30+,Junior,101k-120k,0.010753246753246756
5,5,PhD,15-30+,Junior,121k+,0.0023376623376623385
5,5,PhD,15-30+,Junior,70k-100k,0.03366233766233767
6,6,Masters,0-15,Senior,121k+,1.0
7,7,Masters,15-30+,Manager,121k+,0.7
7,7,PhD,15-30+,Manager,121k+,0.3000000000000001
8,8,Masters,0-15,Senior,70k-100k,0.7000000000000001
8,8,PhD,0-15,Senior,70k-100k,0.3
9,9,Masters,0-15,Senior,101k-120k,1.0
10,10,Masters,0-15,Senior,121k+,0.5909090909090909
10,10,Masters,15-30+,Senior,121k+,0.10909090909090909
10,10,PhD,0-15,Senior,121k+,0.2532467532467532
10,10,PhD,15-30+,Senior,121k+,0.04675324675324676
11,11,Masters,15-30+,Junior,101k-120k,0.6999999999999998
11,11,PhD,15-30+,Junior,101k-120k,0.30000000000000004
12,12,Masters,15-30+,Senior,101k-120k,0.5
12,12,Masters,15-30+,Senior,121k+,0.28
12,12,Masters,15-30+,Senior,70k-100k,0.22000000000000003
13,13,Masters,0-15,Senior,121k+,0.8441558441558441
13,13,Masters,15-30+,Senior,121k+,0.15584415584415584
14,14,Masters,0-15,Senior,101k-120k,0.5
14,14,Masters,0-15,Senior,121k+,0.28
14,14,Masters,0-15,Senior,70k-100k,0.21999999999999997
15,15,Masters,0-15,Junior,101k-120k,0.5909090909090909
15,15,Masters,15-30+,Junior,101k-120k,0.10909090909090909
15,15,PhD,0-15,Junior,101k-120k,0.25324675324675333
15,15,PhD,15-30+,Junior,101k-120k,0.04675324675324676
16,16,Masters,0-15,Manager,121k+,1.0
17,17,Masters,0-15,Senior,70k-100k,0.5909090909090909
17,17,Masters,15-30+,Senior,70k-100k,0.10909090909090906
17,17,PhD,0-15,Senior,70k-100k,0.2532467532467532
17,17,PhD,15-30+,Senior,70k-100k,0.046753246753246755
18,18,Masters,0-15,Senior,101k-120k,1.0
19,19,Masters,0-15,Senior,121k+,1.0
20,20,Masters,15-30+,Senior,101k-120k,1.0
21,21,PhD,0-15,Senior,101k-120k,0.8441558441558441
21,21,PhD,15-30+,Senior,101k-120k,0.15584415584415584
22,22,Masters,0-15,Senior,121k+,0.8441558441558441
22,22,Masters,15-30+,Senior,121k+,0.15584415584415584
23,23,Masters,0-15,Senior,70k-100k,0.7000000000000001
23,23,PhD,0-15,Senior,70k-100k,0.3
24,24,PhD,15-30+,Senior,70k-100k,1.0
25,25,Masters,0-15,Junior,101k-120k,0.19415584415584414
25,25,Masters,0-15,Junior,121k+,0.04220779220779221
25,25,Masters,0-15,Junior,70k-100k,0.6077922077922078
25,25,Masters,15-30+,Junior,101k-120k,0.035844155844155845
25,25,Masters,15-30+,Junior,121k+,0.007792207792207792
25,25,Masters,15-30+,Junior,70k-100k,0.11220779220779219
26,26,Masters,0-15,Junior,101k-120k,0.7
26,26,PhD,0-15,Junior,101k-120k,0.30000000000000004
27,27,Masters,0-15,Junior,101k-120k,0.7
27,27,PhD,0-15,Junior,101k-120k,0.30000000000000004
28,28,Masters,0-15,Senior,101k-120k,0.42207792207792205
28,28,Masters,0-15,Senior,121k+,0.2363636363636364
28,28,Masters,0-15,Senior,70k-100k,0.18571428571428572
28,28,Masters,15-30+,Senior,101k-120k,0.07792207792207792
28,28,Masters,15-30+,Senior,121k+,0.04363636363636364
28,28,Masters,15-30+,Senior,70k-100k,0.03428571428571429
29,29,PhD,0-15,Manager,101k-120k,0.29
