block_id,eid,Position,SalaryBand,DefaultSalary,probability
1,1,Junior,70k-100k,74000,1.0
2,2,Senior,101k-120k,113000,1.0
3,3,Junior,70k-100k,78000,1.0
4,4,Senior,101k-120k,105000,0.5
4,4,Senior,121k+,105000,0.28
4,4,Senior,70k-100k,105000,0.22
5,5,Senior,121k+,122000,1.0
6,6,Senior,101k-120k,111000,1.0
7,7,Senior,70k-100k,74000,1.0
8,8,Junior,101k-120k,113000,1.0
9,9,Senior,121k+,135000,1.0
10,10,Senior,121k+,135000,1.0
11,11,Senior,101k-120k,102000,1.0
12,12,Senior,70k-100k,74000,1.0
13,13,Senior,101k-120k,113000,1.0
14,14,Manager,121k+,128000,1.0
15,15,Manager,101k-120k,125000,0.29
15,15,Manager,121k+,125000,0.65
15,15,Manager,70k-100k,125000,0.06
16,16,Senior,101k-120k,114000,1.0
17,17,Senior,70k-100k,74000,1.0
18,18,Junior,70k-100k,72000,1.0
19,19,Senior,101k-120k,107000,1.0
20,20,Manager,101k-120k,128000,0.29
20,20,Manager,121k+,128000,0.65
20,20,Manager,70k-100k,128000,0.06
21,21,Manager,121k+,140000,1.0
22,22,Senior,101k-120k,111000,1.0
23,23,Manager,121k+,122000,1.0
24,24,Junior,101k-120k,111000,1.0
25,25,Senior,121k+,131000,1.0
26,26,Manager,101k-120k,131000,0.29
26,26,Manager,121k+,131000,0.65
26,26,Manager,70k-100k,131000,0.06
27,27,Senior,121k+,125000,1.0
28,28,Senior,121k+,128000,1.0
29,29,Senior,101k-120k,114000,1.0
30,30,Junior,70k-100k,76000,1.0
31,31,Manager,101k-120k,122000,0.29
31,31,Manager,121k+,122000,0.65
31,31,Manager,70k-100k,122000,0.06
32,32,Senior,121k+,125000,1.0
33,33,Manager,101k-120k,125000,0.29
33,33,Manager,121k+,125000,0.65
33,33,Manager,70k-100k,125000,0.06
34,34,Manager,101k-120k,107000,1.0
35,35,Junior,70k-100k,80000,1.0
36,36,Senior,121k+,125000,1.0
37,37,Junior,101k-120k,84000,0.23
37,37,Junior,121k+,84000,0.05
37,37,Junior,70k-100k,84000,0.72
38,38,Senior,70k-100k,74000,1.0
39,39,Manager,101k-120k,105000,1.0
40,40,Senior,101k-120k,111000,1.0
41,41,Senior,121k+,145000,1.0
42,42,Senior,70k-100k,84000,1.0
43,43,Manager,121k+,125000,1.0
44,44,Junior,70k-100k,72000,1.0
45,45,Junior,101k-120k,105000,1.0
46,46,Manager,101k-120k,113000,1.0
47,47,Junior,70k-100k,86000,1.0
48,48,Manager,101k-120k,122000,0.29
48,48,Manager,121k+,122000,0.65
48,48,Manager,70k-100k,122000,0.06
49,49,Senior,101k-120k,131000,0.5
49,49,Senior,121k+,131000,0.28
49,49,Senior,70k-100k,131000,0.22
50,50,Senior,121k+,131000,1.0
51,51,Senior,121k+,128000,1.0
52,52,Senior,121k+,150000,1.0
53,53,Senior,101k-120k,118000,0.5
53,53,Senior,121k+,118000,0.28
53,53,Senior,70k-100k,118000,0.22
54,54,Senior,101k-120k,113000,1.0
55,55,Junior,70k-100k,91000,1.0
56,56,Manager,121k+,125000,1.0
57,57,Manager,121k+,122000,1.0
58,58,Manager,121k+,122000,1.0
59,59,Junior,70k-100k,78000,1.0
60,60,Manager,121k+,131000,1.0
61,61,Senior,101k-120k,116000,1.0
62,62,Junior,70k-100k,74000,1.0
63,63,Manager,101k-120k,114000,1.0
64,64,Senior,121k+,140000,1.0
65,65,Manager,101k-120k,122000,0.29
65,65,Manager,121k+,122000,0.65
65,65,Manager,70k-100k,122000,0.06
66,66,Junior,101k-120k,102000,1.0
67,67,Senior,101k-120k,107000,1.0
68,68,Manager,101k-120k,111000,0.29
68,68,Manager,121k+,111000,0.65
68,68,Manager,70k-100k,111000,0.06
69,69,Senior,121k+,131000,1.0
70,70,Junior,70k-100k,74000,1.0
