block_id,eid,Education,Experience,Position,probability
1,1,Masters,0-15,Junior,0.590909090909091
1,1,Masters,15-30+,Junior,0.109090909090909
1,1,PhD,0-15,Junior,0.253246753246753
1,1,PhD,15-30+,Junior,0.0467532467532468
2,2,Masters,15-30+,Senior,0.7
2,2,PhD,15-30+,Senior,0.3
3,3,Masters,0-15,Junior,0.844155844155844
3,3,Masters,15-30+,Junior,0.155844155844156
4,4,Masters,0-15,Senior,0.7
4,4,PhD,0-15,Senior,0.3
5,5,Masters,0-15,Senior,1.0
6,6,Masters,0-15,Senior,0.7
6,6,PhD,0-15,Senior,0.3
7,7,Masters,15-30+,Senior,0.7
7,7,PhD,15-30+,Senior,0.3
8,8,PhD,0-15,Junior,0.844155844155844
8,8,PhD,15-30+,Junior,0.155844155844156
9,9,Masters,15-30+,Senior,0.7
9,9,PhD,15-30+,Senior,0.3
10,10,PhD,0-15,Senior,1.0
11,11,Masters,0-15,Senior,1.0
12,12,PhD,0-15,Senior,1.0
13,13,Masters,15-30+,Senior,0.7
13,13,PhD,15-30+,Senior,0.3
14,14,Masters,0-15,Manager,0.7
14,14,PhD,0-15,Manager,0.3
15,15,PhD,0-15,Manager,0.844155844155844
15,15,PhD,15-30+,Manager,0.155844155844156
16,16,Masters,15-30+,Senior,1.0
17,17,Masters,15-30+,Senior,1.0
18,18,PhD,0-15,Junior,1.0
19,19,Masters,15-30+,Senior,0.7
19,19,PhD,15-30+,Senior,0.3
20,20,Masters,0-15,Manager,0.844155844155844
20,20,Masters,15-30+,Manager,0.155844155844156
21,21,Masters,15-30+,Manager,0.7
21,21,PhD,15-30+,Manager,0.3
22,22,Masters,0-15,Senior,0.7
22,22,PhD,0-15,Senior,0.3
23,23,Masters,15-30+,Manager,0.7
23,23,PhD,15-30+,Manager,0.3
24,24,Masters,0-15,Junior,1.0
25,25,PhD,0-15,Senior,1.0
26,26,PhD,0-15,Manager,1.0
27,27,Masters,0-15,Senior,1.0
28,28,Masters,0-15,Senior,1.0
29,29,Masters,15-30+,Senior,0.7
29,29,PhD,15-30+,Senior,0.3
30,30,Masters,15-30+,Junior,1.0
31,31,Masters,15-30+,Manager,0.7
31,31,PhD,15-30+,Manager,0.3
32,32,Masters,0-15,Senior,1.0
33,33,PhD,15-30+,Manager,1.0
34,34,Masters,15-30+,Manager,1.0
35,35,Masters,0-15,Junior,1.0
36,36,Masters,0-15,Senior,0.7
36,36,PhD,0-15,Senior,0.3
37,37,Masters,0-15,Junior,0.7
37,37,PhD,0-15,Junior,0.3
38,38,Masters,15-30+,Senior,1.0
39,39,Masters,0-15,Manager,1.0
40,40,PhD,0-15,Senior,1.0
41,41,Masters,0-15,Senior,0.7
41,41,PhD,0-15,Senior,0.3
42,42,Masters,15-30+,Senior,1.0
43,43,Masters,0-15,Manager,0.7
43,43,PhD,0-15,Manager,0.3
44,44,Masters,0-15,Junior,0.7
44,44,PhD,0-15,Junior,0.3
45,45,Masters,0-15,Junior,1.0
46,46,Masters,0-15,Manager,0.844155844155844
46,46,Masters,15-30+,Manager,0.155844155844156
47,47,Masters,0-15,Junior,1.0
48,48,Masters,0-15,Manager,1.0
49,49,Masters,0-15,Senior,1.0
50,50,Masters,0-15,Senior,0.590909090909091
50,50,Masters,15-30+,Senior,0.109090909090909
50,50,PhD,0-15,Senior,0.253246753246753
50,50,PhD,15-30+,Senior,0.0467532467532468
51,51,Masters,0-15,Senior,0.7
51,51,PhD,0-15,Senior,0.3
52,52,Masters,15-30+,Senior,1.0
53,53,Masters,15-30+,Senior,1.0
54,54,PhD,0-15,Senior,1.0
55,55,Masters,0-15,Junior,0.844155844155844
55,55,Masters,15-30+,Junior,0.155844155844156
56,56,Masters,0-15,Manager,0.844155844155844
56,56,Masters,15-30+,Manager,0.155844155844156
57,57,Masters,0-15,Manager,0.844155844155844
57,57,Masters,15-30+,Manager,0.155844155844156
58,58,Masters,0-15,Manager,0.590909090909091
58,58,Masters,15-30+,Manager,0.109090909090909
58,58,PhD,0-15,Manager,0.253246753246753
58,58,PhD,15-30+,Manager,0.0467532467532468
59,59,Masters,0-15,Junior,1.0
60,60,Masters,15-30+,Manager,0.7
60,60,PhD,15-30+,Manager,0.3
61,61,Masters,0-15,Senior,0.844155844155844
61,61,Masters,15-30+,Senior,0.155844155844156
62,62,PhD,0-15,Junior,0.844155844155844
62,62,PhD,15-30+,Junior,0.155844155844156
63,63,PhD,15-30+,Manager,1.0
64,64,Masters,0-15,Senior,0.7
64,64,PhD,0-15,Senior,0.3
65,65,PhD,0-15,Manager,1.0
66,66,Masters,0-15,Junior,1.0
67,67,Masters,0-15,Senior,1.0
68,68,Masters,0-15,Manager,1.0
69,69,Masters,15-30+,Senior,1.0
70,70,Masters,15-30+,Junior,0.7
70,70,PhD,15-30+,Junior,0.3
