block_id,Position,SalaryBand,DefaultSalary,probability
1,Senior,101k-120k,105000,1.0
2,Senior,121k+,135000,1.0
3,Senior,101k-120k,113000,1.0
4,Junior,70k-100k,74000,1.0
5,Junior,70k-100k,72000,1.0
6,Junior,70k-100k,78000,1.0
7,Manager,101k-120k,105000,0.29
7,Manager,121k+,105000,0.65
7,Manager,70k-100k,105000,0.06
8,Senior,121k+,135000,1.0
9,Manager,70k-100k,78000,1.0
10,Junior,70k-100k,78000,1.0
11,Senior,70k-100k,72000,1.0
12,Junior,101k-120k,107000,1.0
13,Senior,101k-120k,113000,0.5
13,Senior,121k+,113000,0.28
13,Senior,70k-100k,113000,0.22
14,Senior,70k-100k,74000,1.0
15,Senior,101k-120k,105000,1.0
16,Senior,101k-120k,114000,0.5
16,Senior,121k+,114000,0.28
16,Senior,70k-100k,114000,0.22
17,Junior,70k-100k,74000,1.0
18,Junior,70k-100k,72000,1.0
19,Junior,70k-100k,74000,1.0
20,Junior,70k-100k,74000,1.0
21,Senior,101k-120k,114000,1.0
22,Senior,121k+,135000,1.0
23,Junior,70k-100k,72000,1.0
24,Junior,70k-100k,78000,1.0
25,Senior,121k+,131000,1.0
26,Manager,101k-120k,111000,1.0
27,Senior,101k-120k,105000,1.0
28,Junior,70k-100k,76000,1.0
29,Senior,121k+,145000,1.0
30,Junior,70k-100k,76000,1.0
31,Senior,70k-100k,72000,1.0
32,Manager,101k-120k,125000,0.29
32,Manager,121k+,125000,0.65
32,Manager,70k-100k,125000,0.06
33,Junior,70k-100k,72000,1.0
34,Senior,70k-100k,76000,1.0
35,Senior,121k+,140000,1.0
36,Senior,101k-120k,105000,0.5
36,Senior,121k+,105000,0.28
36,Senior,70k-100k,105000,0.22
37,Junior,101k-120k,114000,1.0
38,Senior,70k-100k,74000,1.0
39,Senior,121k+,125000,1.0
40,Junior,70k-100k,76000,1.0
41,Senior,101k-120k,114000,1.0
42,Senior,70k-100k,84000,1.0
43,Senior,121k+,125000,1.0
44,Senior,101k-120k,102000,0.5
44,Senior,121k+,102000,0.28
44,Senior,70k-100k,102000,0.22
45,Junior,70k-100k,74000,1.0
46,Senior,121k+,135000,1.0
47,Senior,121k+,145000,1.0
48,Senior,121k+,122000,1.0
49,Senior,121k+,131000,1.0
50,Senior,121k+,131000,1.0
51,Senior,70k-100k,74000,1.0
52,Senior,101k-120k,118000,1.0
53,Senior,70k-100k,91000,1.0
54,Senior,101k-120k,113000,1.0
55,Junior,101k-120k,118000,1.0
56,Senior,101k-120k,105000,1.0
57,Senior,121k+,122000,1.0
58,Manager,101k-120k,102000,0.29
58,Manager,121k+,102000,0.65
58,Manager,70k-100k,102000,0.06
59,Senior,101k-120k,111000,1.0
60,Senior,70k-100k,76000,1.0
61,Senior,121k+,150000,1.0
62,Junior,101k-120k,105000,1.0
63,Senior,101k-120k,114000,0.5
63,Senior,121k+,114000,0.28
63,Senior,70k-100k,114000,0.22
64,Senior,101k-120k,114000,0.5
64,Senior,121k+,114000,0.28
64,Senior,70k-100k,114000,0.22
65,Junior,101k-120k,102000,1.0
66,Manager,101k-120k,125000,0.29
66,Manager,121k+,125000,0.65
66,Manager,70k-100k,125000,0.06
67,Senior,121k+,131000,1.0
68,Manager,101k-120k,111000,1.0
69,Junior,70k-100k,76000,1.0
70,Senior,101k-120k,128000,0.5
70,Senior,121k+,128000,0.28
70,Senior,70k-100k,128000,0.22
71,Senior,101k-120k,107000,1.0
72,Senior,121k+,145000,1.0
73,Senior,101k-120k,105000,0.5
73,Senior,121k+,105000,0.28
73,Senior,70k-100k,105000,0.22
74,Senior,101k-120k,102000,1.0
75,Manager,101k-120k,122000,0.29
75,Manager,121k+,122000,0.65
75,Manager,70k-100k,122000,0.06
76,Senior,101k-120k,107000,1.0
77,Senior,121k+,131000,1.0
78,Junior,70k-100k,76000,1.0
79,Junior,70k-100k,76000,1.0
80,Junior,70k-100k,80000,1.0
81,Senior,101k-120k,118000,1.0
82,Senior,101k-120k,111000,1.0
83,Manager,101k-120k,105000,1.0
84,Junior,101k-120k,105000,1.0
85,Senior,101k-120k,114000,0.5
85,Senior,121k+,114000,0.28
85,Senior,70k-100k,114000,0.22
86,Senior,101k-120k,102000,1.0
87,Junior,101k-120k,105000,1.0
88,Manager,101k-120k,125000,0.29
88,Manager,121k+,125000,0.65
88,Manager,70k-100k,125000,0.06
89,Senior,101k-120k,125000,0.5
89,Senior,121k+,125000,0.28
89,Senior,70k-100k,125000,0.22
90,Junior,101k-120k,114000,1.0
91,Junior,101k-120k,113000,1.0
92,Senior,70k-100k,78000,1.0
93,Junior,70k-100k,76000,1.0
94,Senior,70k-100k,74000,1.0
95,Senior,101k-120k,105000,1.0
96,Junior,70k-100k,72000,1.0
97,Manager,121k+,131000,1.0
98,Senior,101k-120k,131000,0.5
98,Senior,121k+,131000,0.28
98,Senior,70k-100k,131000,0.22
99,Senior,121k+,125000,1.0
100,Senior,101k-120k,114000,1.0
