block_id,Education,Experience,Position,SalaryBand,probability,DefaultSalary
1,Masters,0-15,Senior,101k-120k,0.7,105000
1,PhD,0-15,Senior,101k-120k,0.3,105000
2,PhD,0-15,Senior,121k+,1.0,135000
3,Masters,15-30+,Senior,101k-120k,0.7,113000
3,PhD,15-30+,Senior,101k-120k,0.30000000000000004,113000
4,Masters,0-15,Junior,70k-100k,0.8441558441558441,74000
4,Masters,15-30+,Junior,70k-100k,0.15584415584415584,74000
5,Masters,0-15,Junior,70k-100k,1.0,72000
6,Masters,0-15,Junior,70k-100k,0.5909090909090908,78000
6,Masters,15-30+,Junior,70k-100k,0.10909090909090907,78000
6,PhD,0-15,Junior,70k-100k,0.2532467532467533,78000
6,PhD,15-30+,Junior,70k-100k,0.046753246753246755,78000
7,Masters,0-15,Manager,101k-120k,0.29,105000
7,Masters,0-15,Manager,121k+,0.65,105000
7,Masters,0-15,Manager,70k-100k,0.06,105000
8,PhD,15-30+,Senior,121k+,1.0,135000
9,Masters,0-15,Manager,70k-100k,0.8441558441558442,78000
9,Masters,15-30+,Manager,70k-100k,0.15584415584415584,78000
10,Masters,0-15,Junior,70k-100k,1.0,78000
11,Masters,0-15,Senior,70k-100k,0.5909090909090909,72000
11,Masters,15-30+,Senior,70k-100k,0.10909090909090906,72000
11,PhD,0-15,Senior,70k-100k,0.2532467532467532,72000
11,PhD,15-30+,Senior,70k-100k,0.046753246753246755,72000
12,Masters,0-15,Junior,101k-120k,0.8441558441558441,107000
12,Masters,15-30+,Junior,101k-120k,0.15584415584415584,107000
13,PhD,15-30+,Senior,101k-120k,0.5,113000
13,PhD,15-30+,Senior,121k+,0.27999999999999997,113000
13,PhD,15-30+,Senior,70k-100k,0.22,113000
14,PhD,0-15,Senior,70k-100k,1.0,74000
15,Masters,0-15,Senior,101k-120k,1.0,105000
16,Masters,0-15,Senior,101k-120k,0.29545454545454547,114000
16,Masters,0-15,Senior,121k+,0.16545454545454547,114000
16,Masters,0-15,Senior,70k-100k,0.13,114000
16,Masters,15-30+,Senior,101k-120k,0.05454545454545453,114000
16,Masters,15-30+,Senior,121k+,0.030545454545454542,114000
16,Masters,15-30+,Senior,70k-100k,0.023999999999999994,114000
16,PhD,0-15,Senior,101k-120k,0.1266233766233766,114000
16,PhD,0-15,Senior,121k+,0.07090909090909091,114000
16,PhD,0-15,Senior,70k-100k,0.05571428571428571,114000
16,PhD,15-30+,Senior,101k-120k,0.023376623376623377,114000
16,PhD,15-30+,Senior,121k+,0.013090909090909092,114000
16,PhD,15-30+,Senior,70k-100k,0.010285714285714285,114000
17,Masters,15-30+,Junior,70k-100k,0.7,74000
17,PhD,15-30+,Junior,70k-100k,0.30000000000000004,74000
18,Masters,0-15,Junior,70k-100k,0.8441558441558441,72000
18,Masters,15-30+,Junior,70k-100k,0.15584415584415584,72000
19,Masters,15-30+,Junior,70k-100k,0.7,74000
19,PhD,15-30+,Junior,70k-100k,0.30000000000000004,74000
20,Masters,0-15,Junior,70k-100k,0.8441558441558441,74000
20,Masters,15-30+,Junior,70k-100k,0.15584415584415584,74000
21,PhD,0-15,Senior,101k-120k,0.8441558441558441,114000
21,PhD,15-30+,Senior,101k-120k,0.15584415584415584,114000
22,PhD,0-15,Senior,121k+,0.8441558441558442,135000
22,PhD,15-30+,Senior,121k+,0.15584415584415587,135000
23,Masters,0-15,Junior,70k-100k,0.5909090909090908,72000
23,Masters,15-30+,Junior,70k-100k,0.10909090909090907,72000
23,PhD,0-15,Junior,70k-100k,0.2532467532467533,72000
23,PhD,15-30+,Junior,70k-100k,0.046753246753246755,72000
24,Masters,15-30+,Junior,70k-100k,1.0,78000
25,PhD,0-15,Senior,121k+,1.0,131000
26,Masters,0-15,Manager,101k-120k,0.7,111000
26,PhD,0-15,Manager,101k-120k,0.30000000000000004,111000
27,Masters,0-15,Senior,101k-120k,0.590909090909091,105000
27,Masters,15-30+,Senior,101k-120k,0.10909090909090909,105000
27,PhD,0-15,Senior,101k-120k,0.2532467532467533,105000
27,PhD,15-30+,Senior,101k-120k,0.046753246753246755,105000
28,Masters,0-15,Junior,70k-100k,0.5909090909090908,76000
28,Masters,15-30+,Junior,70k-100k,0.10909090909090907,76000
28,PhD,0-15,Junior,70k-100k,0.2532467532467533,76000
28,PhD,15-30+,Junior,70k-100k,0.046753246753246755,76000
29,PhD,0-15,Senior,121k+,1.0,145000
30,Masters,15-30+,Junior,70k-100k,1.0,76000
