block_id,eid,Education,Experience,Position,probability
1,1,Masters,0-15,Senior,0.7
1,1,PhD,0-15,Senior,0.3
2,2,PhD,0-15,Senior,1.0
3,3,Masters,15-30+,Senior,0.7
3,3,PhD,15-30+,Senior,0.3
4,4,Masters,0-15,Junior,0.844155844155844
4,4,Masters,15-30+,Junior,0.155844155844156
5,5,Masters,0-15,Junior,1.0
6,6,Masters,0-15,Junior,0.590909090909091
6,6,Masters,15-30+,Junior,0.109090909090909
6,6,PhD,0-15,Junior,0.253246753246753
6,6,PhD,15-30+,Junior,0.0467532467532468
7,7,Masters,0-15,Manager,1.0
8,8,PhD,15-30+,Senior,1.0
9,9,Masters,0-15,Manager,0.844155844155844
9,9,Masters,15-30+,Manager,0.155844155844156
10,10,Masters,0-15,Junior,1.0
11,11,Masters,0-15,Senior,0.590909090909091
11,11,Masters,15-30+,Senior,0.109090909090909
11,11,PhD,0-15,Senior,0.253246753246753
11,11,PhD,15-30+,Senior,0.0467532467532468
12,12,Masters,0-15,Junior,0.844155844155844
12,12,Masters,15-30+,Junior,0.155844155844156
13,13,PhD,15-30+,Senior,1.0
14,14,PhD,0-15,Senior,1.0
15,15,Masters,0-15,Senior,1.0
16,16,Masters,0-15,Senior,0.590909090909091
16,16,Masters,15-30+,Senior,0.109090909090909
16,16,PhD,0-15,Senior,0.253246753246753
16,16,PhD,15-30+,Senior,0.0467532467532468
17,17,Masters,15-30+,Junior,0.7
17,17,PhD,15-30+,Junior,0.3
18,18,Masters,0-15,Junior,0.844155844155844
18,18,Masters,15-30+,Junior,0.155844155844156
19,19,Masters,15-30+,Junior,0.7
19,19,PhD,15-30+,Junior,0.3
20,20,Masters,0-15,Junior,0.844155844155844
20,20,Masters,15-30+,Junior,0.155844155844156
21,21,PhD,0-15,Senior,0.844155844155844
21,21,PhD,15-30+,Senior,0.155844155844156
22,22,PhD,0-15,Senior,0.844155844155844
22,22,PhD,15-30+,Senior,0.155844155844156
23,23,Masters,0-15,Junior,0.590909090909091
23,23,Masters,15-30+,Junior,0.109090909090909
23,23,PhD,0-15,Junior,0.253246753246753
23,23,PhD,15-30+,Junior,0.0467532467532468
24,24,Masters,15-30+,Junior,1.0
25,25,PhD,0-15,Senior,1.0
26,26,Masters,0-15,Manager,0.7
26,26,PhD,0-15,Manager,0.3
