block_id,eid,Position,SalaryBand,DefaultSalary,probability
1,1,Senior,101k-120k,105000,1.0
2,2,Senior,121k+,135000,1.0
3,3,Senior,101k-120k,113000,1.0
4,4,Junior,70k-100k,74000,1.0
5,5,Junior,70k-100k,72000,1.0
6,6,Junior,70k-100k,78000,1.0
7,7,Manager,101k-120k,105000,0.29
7,7,Manager,121k+,105000,0.65
7,7,Manager,70k-100k,105000,0.06
8,8,Senior,121k+,135000,1.0
9,9,Manager,70k-100k,78000,1.0
10,10,Junior,70k-100k,78000,1.0
11,11,Senior,70k-100k,72000,1.0
12,12,Junior,101k-120k,107000,1.0
13,13,Senior,101k-120k,113000,0.5
13,13,Senior,121k+,113000,0.28
13,13,Senior,70k-100k,113000,0.22
14,14,Senior,70k-100k,74000,1.0
15,15,Senior,101k-120k,105000,1.0
16,16,Senior,101k-120k,114000,0.5
16,16,Senior,121k+,114000,0.28
16,16,Senior,70k-100k,114000,0.22
17,17,Junior,70k-100k,74000,1.0
18,18,Junior,70k-100k,72000,1.0
19,19,Junior,70k-100k,74000,1.0
20,20,Junior,70k-100k,74000,1.0
21,21,Senior,101k-120k,114000,1.0
22,22,Senior,121k+,135000,1.0
23,23,Junior,70k-100k,72000,1.0
24,24,Junior,70k-100k,78000,1.0
25,25,Senior,121k+,131000,1.0
26,26,Manager,101k-120k,111000,1.0
27,27,Senior,101k-120k,105000,1.0
28,28,Junior,70k-100k,76000,1.0
29,29,Senior,121k+,145000,1.0
30,30,Junior,70k-100k,76000,1.0
31,31,Senior,70k-100k,72000,1.0
32,32,Manager,101k-120k,125000,0.29
32,32,Manager,121k+,125000,0.65
32,32,Manager,70k-100k,125000,0.06
33,33,Junior,70k-100k,72000,1.0
34,34,Senior,70k-100k,76000,1.0
35,35,Senior,121k+,140000,1.0
36,36,Senior,101k-120k,105000,0.5
36,36,Senior,121k+,105000,0.28
36,36,Senior,70k-100k,105000,0.22
37,37,Junior,101k-120k,114000,1.0
38,38,Senior,70k-100k,74000,1.0
39,39,Senior,121k+,125000,1.0
40,40,Junior,70k-100k,76000,1.0
41,41,Senior,101k-120k,114000,1.0
42,42,Senior,70k-100k,84000,1.0
43,43,Senior,121k+,125000,1.0
44,44,Senior,101k-120k,102000,0.5
44,44,Senior,121k+,102000,0.28
44,44,Senior,70k-100k,102000,0.22
45,45,Junior,70k-100k,74000,1.0
46,46,Senior,121k+,135000,1.0
47,47,Senior,121k+,145000,1.0
48,48,Senior,121k+,122000,1.0
49,49,Senior,121k+,131000,1.0
50,50,Senior,121k+,131000,1.0
51,51,Senior,70k-100k,74000,1.0
52,52,Senior,101k-120k,118000,1.0
53,53,Senior,70k-100k,91000,1.0
54,54,Senior,101k-120k,113000,1.0
55,55,Junior,101k-120k,118000,1.0
56,56,Senior,101k-120k,105000,1.0
57,57,Senior,121k+,122000,1.0
58,58,Manager,101k-120k,102000,0.29
58,58,Manager,121k+,102000,0.65
58,58,Manager,70k-100k,102000,0.06
59,59,Senior,101k-120k,111000,1.0
60,60,Senior,70k-100k,76000,1.0
61,61,Senior,121k+,150000,1.0
62,62,Junior,101k-120k,105000,1.0
63,63,Senior,101k-120k,114000,0.5
63,63,Senior,121k+,114000,0.28
63,63,Senior,70k-100k,114000,0.22
64,64,Senior,101k-120k,114000,0.5
64,64,Senior,121k+,114000,0.28
64,64,Senior,70k-100k,114000,0.22
65,65,Junior,101k-120k,102000,1.0
66,66,Manager,101k-120k,125000,0.29
66,66,Manager,121k+,125000,0.65
66,66,Manager,70k-100k,125000,0.06
67,67,Senior,121k+,131000,1.0
68,68,Manager,101k-120k,111000,1.0
69,69,Junior,70k-100k,76000,1.0
70,70,Senior,101k-120k,128000,0.5
70,70,Senior,121k+,128000,0.28
70,70,Senior,70k-100k,128000,0.22
71,71,Senior,101k-120k,107000,1.0
72,72,Senior,121k+,145000,1.0
73,73,Senior,101k-120k,105000,0.5
73,73,Senior,121k+,105000,0.28
73,73,Senior,70k-100k,105000,0.22
74,74,Senior,101k-120k,102000,1.0
75,75,Manager,101k-120k,122000,0.29
75,75,Manager,121k+,122000,0.65
75,75,Manager,70k-100k,122000,0.06
76,76,Senior,101k-120k,107000,1.0
77,77,Senior,121k+,131000,1.0
78,78,Junior,70k-100k,76000,1.0
79,79,Junior,70k-100k,76000,1.0
80,80,Junior,70k-100k,80000,1.0
81,81,Senior,101k-120k,118000,1.0
82,82,Senior,101k-120k,111000,1.0
83,83,Manager,101k-120k,105000,1.0
84,84,Junior,101k-120k,105000,1.0
85,85,Senior,101k-120k,114000,0.5
85,85,Senior,121k+,114000,0.28
85,85,Senior,70k-100k,114000,0.22
86,86,Senior,101k-120k,102000,1.0
87,87,Junior,101k-120k,105000,1.0
88,88,Manager,101k-120k,125000,0.29
88,88,Manager,121k+,125000,0.65
88,88,Manager,70k-100k,125000,0.06
89,89,Senior,101k-120k,125000,0.5
89,89,Senior,121k+,125000,0.28
89,89,Senior,70k-100k,125000,0.22
90,90,Junior,101k-120k,114000,1.0
91,91,Junior,101k-120k,113000,1.0
92,92,Senior,70k-100k,78000,1.0
93,93,Junior,70k-100k,76000,1.0
94,94,Senior,70k-100k,74000,1.0
95,95,Senior,101k-120k,105000,1.0
96,96,Junior,70k-100k,72000,1.0
97,97,Manager,121k+,131000,1.0
98,98,Senior,101k-120k,131000,0.5
98,98,Senior,121k+,131000,0.28
98,98,Senior,70k-100k,131000,0.22
99,99,Senior,121k+,125000,1.0
100,100,Senior,101k-120k,114000,1.0
