block_id,Position,Experience,Education,probability
1,Senior,15-30+,Masters,1.0
2,Senior,0-15,Masters,0.844155844155844
2,Senior,15-30+,Masters,0.155844155844156
3,Junior,0-15,Masters,0.590909090909091
3,Junior,0-15,PhD,0.253246753246753
3,Junior,15-30+,Masters,0.109090909090909
3,Junior,15-30+,PhD,0.0467532467532468
4,Junior,0-15,Masters,0.844155844155844
4,Junior,15-30+,Masters,0.155844155844156
5,Junior,0-15,Masters,0.590909090909091
5,Junior,0-15,PhD,0.253246753246753
5,Junior,15-30+,Masters,0.109090909090909
5,Junior,15-30+,PhD,0.0467532467532468
6,Senior,0-15,Masters,1.0
7,Manager,15-30+,Masters,0.7
7,Manager,15-30+,PhD,0.3
8,Senior,0-15,Masters,0.7
8,Senior,0-15,PhD,0.3
9,Senior,0-15,Masters,1.0
10,Senior,0-15,Masters,0.590909090909091
10,Senior,0-15,PhD,0.253246753246753
10,Senior,15-30+,Masters,0.109090909090909
10,Senior,15-30+,PhD,0.0467532467532468
11,Junior,15-30+,Masters,0.7
11,Junior,15-30+,PhD,0.3
12,Senior,15-30+,Masters,1.0
13,Senior,0-15,Masters,0.844155844155844
13,Senior,15-30+,Masters,0.155844155844156
14,Senior,0-15,Masters,1.0
15,Junior,0-15,Masters,0.590909090909091
15,Junior,0-15,PhD,0.253246753246753
15,Junior,15-30+,Masters,0.109090909090909
15,Junior,15-30+,PhD,0.0467532467532468
16,Manager,0-15,Masters,1.0
17,Senior,0-15,Masters,0.590909090909091
17,Senior,0-15,PhD,0.253246753246753
17,Senior,15-30+,Masters,0.109090909090909
17,Senior,15-30+,PhD,0.0467532467532468
18,Senior,0-15,Masters,1.0
19,Senior,0-15,Masters,1.0
20,Senior,15-30+,Masters,1.0
21,Senior,0-15,PhD,0.844155844155844
21,Senior,15-30+,PhD,0.155844155844156
22,Senior,0-15,Masters,0.844155844155844
22,Senior,15-30+,Masters,0.155844155844156
23,Senior,0-15,Masters,0.7
23,Senior,0-15,PhD,0.3
24,Senior,15-30+,PhD,1.0
25,Junior,0-15,Masters,0.844155844155844
25,Junior,15-30+,Masters,0.155844155844156
26,Junior,0-15,Masters,0.7
26,Junior,0-15,PhD,0.3
27,Junior,0-15,Masters,0.7
27,Junior,0-15,PhD,0.3
28,Senior,0-15,Masters,0.844155844155844
28,Senior,15-30+,Masters,0.155844155844156
29,Manager,0-15,PhD,1.0
30,Senior,0-15,Masters,0.7
30,Senior,0-15,PhD,0.3
31,Senior,0-15,Masters,1.0
32,Senior,0-15,PhD,1.0
33,Junior,0-15,Masters,0.7
33,Junior,0-15,PhD,0.3
34,Junior,0-15,Masters,0.7
34,Junior,0-15,PhD,0.3
35,Manager,15-30+,Masters,1.0
36,Junior,0-15,Masters,0.7
36,Junior,0-15,PhD,0.3
37,Junior,0-15,PhD,0.844155844155844
37,Junior,15-30+,PhD,0.155844155844156
38,Senior,0-15,PhD,1.0
39,Junior,0-15,Masters,0.590909090909091
39,Junior,0-15,PhD,0.253246753246753
39,Junior,15-30+,Masters,0.109090909090909
39,Junior,15-30+,PhD,0.0467532467532468
40,Senior,15-30+,Masters,1.0
41,Senior,0-15,Masters,1.0
42,Junior,0-15,Masters,1.0
43,Senior,0-15,Masters,0.844155844155844
43,Senior,15-30+,Masters,0.155844155844156
44,Manager,0-15,Masters,1.0
45,Senior,0-15,Masters,0.590909090909091
45,Senior,0-15,PhD,0.253246753246753
45,Senior,15-30+,Masters,0.109090909090909
45,Senior,15-30+,PhD,0.0467532467532468
46,Senior,15-30+,PhD,1.0
47,Senior,0-15,Masters,0.7
47,Senior,0-15,PhD,0.3
48,Junior,0-15,Masters,1.0
49,Senior,0-15,Masters,0.844155844155844
49,Senior,15-30+,Masters,0.155844155844156
50,Senior,0-15,Masters,0.7
50,Senior,0-15,PhD,0.3
