block_id,eid,Education,Experience,Position,SalaryBand,probability
1,1,Masters,0-15,Junior,70k-100k,0.8441558441558441
1,1,Masters,15-30+,Junior,70k-100k,0.15584415584415584
2,2,Masters,15-30+,Manager,121k+,0.7
2,2,PhD,15-30+,Manager,121k+,0.3000000000000001
3,3,Masters,0-15,Junior,70k-100k,0.5909090909090908
3,3,Masters,15-30+,Junior,70k-100k,0.10909090909090907
3,3,PhD,0-15,Junior,70k-100k,0.2532467532467533
3,3,PhD,15-30+,Junior,70k-100k,0.046753246753246755
4,4,Masters,0-15,Senior,101k-120k,0.5
4,4,Masters,0-15,Senior,121k+,0.28
4,4,Masters,0-15,Senior,70k-100k,0.21999999999999997
5,5,Masters,0-15,Junior,70k-100k,0.5909090909090908
5,5,Masters,15-30+,Junior,70k-100k,0.10909090909090907
5,5,PhD,0-15,Junior,70k-100k,0.2532467532467533
5,5,PhD,15-30+,Junior,70k-100k,0.046753246753246755
6,6,PhD,15-30+,Senior,101k-120k,1.0
7,7,Masters,15-30+,Senior,101k-120k,0.5
7,7,Masters,15-30+,Senior,121k+,0.28
7,7,Masters,15-30+,Senior,70k-100k,0.22000000000000003
8,8,Masters,0-15,Manager,101k-120k,0.29
8,8,Masters,0-15,Manager,121k+,0.65
8,8,Masters,0-15,Manager,70k-100k,0.06
9,9,PhD,0-15,Manager,101k-120k,0.29
9,9,PhD,0-15,Manager,121k+,0.6499999999999999
9,9,PhD,0-15,Manager,70k-100k,0.06
10,10,Masters,0-15,Senior,101k-120k,0.42207792207792205
10,10,Masters,0-15,Senior,121k+,0.2363636363636364
10,10,Masters,0-15,Senior,70k-100k,0.18571428571428572
10,10,Masters,15-30+,Senior,101k-120k,0.07792207792207792
10,10,Masters,15-30+,Senior,121k+,0.04363636363636364
10,10,Masters,15-30+,Senior,70k-100k,0.03428571428571429
11,11,Masters,0-15,Manager,101k-120k,0.20299999999999996
11,11,Masters,0-15,Manager,121k+,0.4549999999999999
11,11,Masters,0-15,Manager,70k-100k,0.04199999999999999
11,11,PhD,0-15,Manager,101k-120k,0.08700000000000001
11,11,PhD,0-15,Manager,121k+,0.19500000000000003
11,11,PhD,0-15,Manager,70k-100k,0.018
12,12,Masters,15-30+,Manager,101k-120k,0.29
12,12,Masters,15-30+,Manager,121k+,0.6500000000000001
12,12,Masters,15-30+,Manager,70k-100k,0.060000000000000005
13,13,Masters,0-15,Senior,101k-120k,0.7
13,13,PhD,0-15,Senior,101k-120k,0.3
14,14,Masters,15-30+,Manager,101k-120k,0.20299999999999996
14,14,Masters,15-30+,Manager,121k+,0.4549999999999999
14,14,Masters,15-30+,Manager,70k-100k,0.041999999999999996
14,14,PhD,15-30+,Manager,101k-120k,0.08700000000000001
14,14,PhD,15-30+,Manager,121k+,0.19500000000000003
14,14,PhD,15-30+,Manager,70k-100k,0.018
15,15,PhD,0-15,Junior,101k-120k,0.8441558441558442
15,15,PhD,15-30+,Junior,101k-120k,0.15584415584415584
16,16,Masters,0-15,Junior,70k-100k,0.7
16,16,PhD,0-15,Junior,70k-100k,0.3000000000000001
17,17,PhD,0-15,Senior,101k-120k,0.4220779220779221
17,17,PhD,0-15,Senior,121k+,0.23636363636363641
17,17,PhD,0-15,Senior,70k-100k,0.18571428571428572
17,17,PhD,15-30+,Senior,101k-120k,0.07792207792207792
17,17,PhD,15-30+,Senior,121k+,0.04363636363636364
17,17,PhD,15-30+,Senior,70k-100k,0.03428571428571429
18,18,PhD,0-15,Senior,101k-120k,0.8441558441558441
18,18,PhD,15-30+,Senior,101k-120k,0.15584415584415584
19,19,Masters,0-15,Senior,101k-120k,0.7
19,19,PhD,0-15,Senior,101k-120k,0.3
20,20,Masters,0-15,Junior,70k-100k,0.7
20,20,PhD,0-15,Junior,70k-100k,0.3000000000000001
21,21,Masters,0-15,Junior,70k-100k,0.7
21,21,PhD,0-15,Junior,70k-100k,0.3000000000000001
22,22,Masters,15-30+,Senior,121k+,1.0
23,23,Masters,0-15,Senior,101k-120k,1.0
24,24,Masters,0-15,Senior,101k-120k,1.0
25,25,Masters,15-30+,Senior,121k+,0.7
25,25,PhD,15-30+,Senior,121k+,0.3
26,26,PhD,0-15,Senior,101k-120k,0.8441558441558441
26,26,PhD,15-30+,Senior,101k-120k,0.15584415584415584
27,27,Masters,15-30+,Senior,101k-120k,1.0
28,28,Masters,15-30+,Manager,101k-120k,1.0
29,29,Masters,0-15,Manager,101k-120k,1.0
30,30,Masters,0-15,Senior,101k-120k,0.5
30,30,Masters,0-15,Senior,121k+,0.28
30,30,Masters,0-15,Senior,70k-100k,0.21999999999999997
