block_id,eid,Education,Experience,Position,probability
1,1,Masters,0-15,Junior,0.844155844155844
1,1,Masters,15-30+,Junior,0.155844155844156
2,2,Masters,15-30+,Manager,0.7
2,2,PhD,15-30+,Manager,0.3
3,3,Masters,0-15,Junior,0.590909090909091
3,3,Masters,15-30+,Junior,0.109090909090909
3,3,PhD,0-15,Junior,0.253246753246753
3,3,PhD,15-30+,Junior,0.0467532467532468
4,4,Masters,0-15,Senior,1.0
5,5,Masters,0-15,Junior,0.590909090909091
5,5,Masters,15-30+,Junior,0.109090909090909
5,5,PhD,0-15,Junior,0.253246753246753
5,5,PhD,15-30+,Junior,0.0467532467532468
6,6,PhD,15-30+,Senior,1.0
7,7,Masters,15-30+,Senior,1.0
8,8,Masters,0-15,Manager,1.0
9,9,PhD,0-15,Manager,1.0
10,10,Masters,0-15,Senior,0.844155844155844
10,10,Masters,15-30+,Senior,0.155844155844156
11,11,Masters,0-15,Manager,0.7
11,11,PhD,0-15,Manager,0.3
12,12,Masters,15-30+,Manager,1.0
13,13,Masters,0-15,Senior,0.7
13,13,PhD,0-15,Senior,0.3
14,14,Masters,15-30+,Manager,0.7
14,14,PhD,15-30+,Manager,0.3
15,15,PhD,0-15,Junior,0.844155844155844
15,15,PhD,15-30+,Junior,0.155844155844156
16,16,Masters,0-15,Junior,0.7
16,16,PhD,0-15,Junior,0.3
17,17,PhD,0-15,Senior,0.844155844155844
17,17,PhD,15-30+,Senior,0.155844155844156
18,18,PhD,0-15,Senior,0.844155844155844
18,18,PhD,15-30+,Senior,0.155844155844156
19,19,Masters,0-15,Senior,0.7
19,19,PhD,0-15,Senior,0.3
20,20,Masters,0-15,Junior,0.7
20,20,PhD,0-15,Junior,0.3
21,21,Masters,0-15,Junior,0.7
21,21,PhD,0-15,Junior,0.3
22,22,Masters,15-30+,Senior,1.0
23,23,Masters,0-15,Senior,1.0
24,24,Masters,0-15,Senior,1.0
25,25,Masters,15-30+,Senior,0.7
25,25,PhD,15-30+,Senior,0.3
26,26,PhD,0-15,Senior,0.844155844155844
26,26,PhD,15-30+,Senior,0.155844155844156
27,27,Masters,15-30+,Senior,1.0
28,28,Masters,15-30+,Manager,1.0
29,29,Masters,0-15,Manager,1.0
30,30,Masters,0-15,Senior,1.0
