block_id,Education,Experience,Position,SalaryBand,probability,DefaultSalary
1,Masters,0-15,Junior,70k-100k,0.5909090909090908,74000
1,Masters,15-30+,Junior,70k-100k,0.10909090909090907,74000
1,PhD,0-15,Junior,70k-100k,0.2532467532467533,74000
1,PhD,15-30+,Junior,70k-100k,0.046753246753246755,74000
2,Masters,15-30+,Senior,101k-120k,0.7,113000
2,PhD,15-30+,Senior,101k-120k,0.30000000000000004,113000
3,Masters,0-15,Junior,70k-100k,0.8441558441558441,78000
3,Masters,15-30+,Junior,70k-100k,0.15584415584415584,78000
4,Masters,0-15,Senior,101k-120k,0.35000000000000003,105000
4,Masters,0-15,Senior,121k+,0.196,105000
4,Masters,0-15,Senior,70k-100k,0.154,105000
4,PhD,0-15,Senior,101k-120k,0.15000000000000002,105000
4,PhD,0-15,Senior,121k+,0.084,105000
4,PhD,0-15,Senior,70k-100k,0.066,105000
5,Masters,0-15,Senior,121k+,1.0,122000
6,Masters,0-15,Senior,101k-120k,0.7,111000
6,PhD,0-15,Senior,101k-120k,0.3,111000
7,Masters,15-30+,Senior,70k-100k,0.7,74000
7,PhD,15-30+,Senior,70k-100k,0.3,74000
8,PhD,0-15,Junior,101k-120k,0.8441558441558442,113000
8,PhD,15-30+,Junior,101k-120k,0.15584415584415584,113000
9,Masters,15-30+,Senior,121k+,0.7,135000
9,PhD,15-30+,Senior,121k+,0.3,135000
10,PhD,0-15,Senior,121k+,1.0,135000
11,Masters,0-15,Senior,101k-120k,1.0,102000
12,PhD,0-15,Senior,70k-100k,1.0,74000
13,Masters,15-30+,Senior,101k-120k,0.7,113000
13,PhD,15-30+,Senior,101k-120k,0.30000000000000004,113000
14,Masters,0-15,Manager,121k+,0.6999999999999998,128000
14,PhD,0-15,Manager,121k+,0.30000000000000004,128000
15,PhD,0-15,Manager,101k-120k,0.24480519480519478,125000
15,PhD,0-15,Manager,121k+,0.5487012987012987,125000
15,PhD,0-15,Manager,70k-100k,0.05064935064935065,125000
15,PhD,15-30+,Manager,101k-120k,0.045194805194805183,125000
15,PhD,15-30+,Manager,121k+,0.1012987012987013,125000
15,PhD,15-30+,Manager,70k-100k,0.00935064935064935,125000
16,Masters,15-30+,Senior,101k-120k,1.0,114000
17,Masters,15-30+,Senior,70k-100k,1.0,74000
18,PhD,0-15,Junior,70k-100k,1.0,72000
19,Masters,15-30+,Senior,101k-120k,0.7,107000
19,PhD,15-30+,Senior,101k-120k,0.30000000000000004,107000
20,Masters,0-15,Manager,101k-120k,0.24480519480519478,128000
20,Masters,0-15,Manager,121k+,0.5487012987012987,128000
20,Masters,0-15,Manager,70k-100k,0.050649350649350645,128000
20,Masters,15-30+,Manager,101k-120k,0.045194805194805183,128000
20,Masters,15-30+,Manager,121k+,0.10129870129870129,128000
20,Masters,15-30+,Manager,70k-100k,0.00935064935064935,128000
21,Masters,15-30+,Manager,121k+,0.7,140000
21,PhD,15-30+,Manager,121k+,0.3000000000000001,140000
22,Masters,0-15,Senior,101k-120k,0.7,111000
22,PhD,0-15,Senior,101k-120k,0.3,111000
23,Masters,15-30+,Manager,121k+,0.7,122000
23,PhD,15-30+,Manager,121k+,0.3000000000000001,122000
24,Masters,0-15,Junior,101k-120k,1.0,111000
25,PhD,0-15,Senior,121k+,1.0,131000
