block_id,Position,Experience,Education,probability
1,Junior,0-15,Masters,0.590909090909091
1,Junior,0-15,PhD,0.253246753246753
1,Junior,15-30+,Masters,0.109090909090909
1,Junior,15-30+,PhD,0.0467532467532468
2,Senior,15-30+,Masters,0.7
2,Senior,15-30+,PhD,0.3
3,Junior,0-15,Masters,0.844155844155844
3,Junior,15-30+,Masters,0.155844155844156
4,Senior,0-15,Masters,0.7
4,Senior,0-15,PhD,0.3
5,Senior,0-15,Masters,1.0
6,Senior,0-15,Masters,0.7
6,Senior,0-15,PhD,0.3
7,Senior,15-30+,Masters,0.7
7,Senior,15-30+,PhD,0.3
8,Junior,0-15,PhD,0.844155844155844
8,Junior,15-30+,PhD,0.155844155844156
9,Senior,15-30+,Masters,0.7
9,Senior,15-30+,PhD,0.3
10,Senior,0-15,PhD,1.0
11,Senior,0-15,Masters,1.0
12,Senior,0-15,PhD,1.0
13,Senior,15-30+,Masters,0.7
13,Senior,15-30+,PhD,0.3
14,Manager,0-15,Masters,0.7
14,Manager,0-15,PhD,0.3
15,Manager,0-15,PhD,0.844155844155844
15,Manager,15-30+,PhD,0.155844155844156
16,Senior,15-30+,Masters,1.0
17,Senior,15-30+,Masters,1.0
18,Junior,0-15,PhD,1.0
19,Senior,15-30+,Masters,0.7
19,Senior,15-30+,PhD,0.3
20,Manager,0-15,Masters,0.844155844155844
20,Manager,15-30+,Masters,0.155844155844156
21,Manager,15-30+,Masters,0.7
21,Manager,15-30+,PhD,0.3
22,Senior,0-15,Masters,0.7
22,Senior,0-15,PhD,0.3
23,Manager,15-30+,Masters,0.7
23,Manager,15-30+,PhD,0.3
24,Junior,0-15,Masters,1.0
25,Senior,0-15,PhD,1.0
26,Manager,0-15,PhD,1.0
27,Senior,0-15,Masters,1.0
28,Senior,0-15,Masters,1.0
29,Senior,15-30+,Masters,0.7
29,Senior,15-30+,PhD,0.3
30,Junior,15-30+,Masters,1.0
31,Manager,15-30+,Masters,0.7
31,Manager,15-30+,PhD,0.3
32,Senior,0-15,Masters,1.0
33,Manager,15-30+,PhD,1.0
34,Manager,15-30+,Masters,1.0
35,Junior,0-15,Masters,1.0
36,Senior,0-15,Masters,0.7
36,Senior,0-15,PhD,0.3
37,Junior,0-15,Masters,0.7
37,Junior,0-15,PhD,0.3
38,Senior,15-30+,Masters,1.0
39,Manager,0-15,Masters,1.0
40,Senior,0-15,PhD,1.0
41,Senior,0-15,Masters,0.7
41,Senior,0-15,PhD,0.3
42,Senior,15-30+,Masters,1.0
43,Manager,0-15,Masters,0.7
43,Manager,0-15,PhD,0.3
44,Junior,0-15,Masters,0.7
44,Junior,0-15,PhD,0.3
45,Junior,0-15,Masters,1.0
46,Manager,0-15,Masters,0.844155844155844
46,Manager,15-30+,Masters,0.155844155844156
47,Junior,0-15,Masters,1.0
48,Manager,0-15,Masters,1.0
49,Senior,0-15,Masters,1.0
50,Senior,0-15,Masters,0.590909090909091
50,Senior,0-15,PhD,0.253246753246753
50,Senior,15-30+,Masters,0.109090909090909
50,Senior,15-30+,PhD,0.0467532467532468
51,Senior,0-15,Masters,0.7
51,Senior,0-15,PhD,0.3
52,Senior,15-30+,Masters,1.0
53,Senior,15-30+,Masters,1.0
54,Senior,0-15,PhD,1.0
55,Junior,0-15,Masters,0.844155844155844
55,Junior,15-30+,Masters,0.155844155844156
56,Manager,0-15,Masters,0.844155844155844
56,Manager,15-30+,Masters,0.155844155844156
57,Manager,0-15,Masters,0.844155844155844
57,Manager,15-30+,Masters,0.155844155844156
58,Manager,0-15,Masters,0.590909090909091
58,Manager,0-15,PhD,0.253246753246753
58,Manager,15-30+,Masters,0.109090909090909
58,Manager,15-30+,PhD,0.0467532467532468
59,Junior,0-15,Masters,1.0
60,Manager,15-30+,Masters,0.7
60,Manager,15-30+,PhD,0.3
61,Senior,0-15,Masters,0.844155844155844
61,Senior,15-30+,Masters,0.155844155844156
62,Junior,0-15,PhD,0.844155844155844
62,Junior,15-30+,PhD,0.155844155844156
63,Manager,15-30+,PhD,1.0
64,Senior,0-15,Masters,0.7
64,Senior,0-15,PhD,0.3
65,Manager,0-15,PhD,1.0
66,Junior,0-15,Masters,1.0
67,Senior,0-15,Masters,1.0
68,Manager,0-15,Masters,1.0
69,Senior,15-30+,Masters,1.0
70,Junior,15-30+,Masters,0.7
70,Junior,15-30+,PhD,0.3
